Titre;Temps Total;Temps Préparation;Temps Cuisson;Nombre de personnes;Difficulté;Coût;Ingrédients;Étapes;Ustensiles;Liens_recette
Dalgona coffee (café fouetté);7 min;7 min;-;2;facile;bon marché;"['5 cuillères à soupe de sucre', '5 cuillères à soupe de café instantané lyophilisé', ""5 cuillères à soupe d' eau très chaude"", '2 tasses de lait']";"[""Fouetter vigoureusement le café soluble avec le sucre et l'eau chaude jusqu'à ce qu'il change de texture, double de volume et prenne une couleur plus claire (utiliser un émulsionneur ou pas mal d'huile de coude)"", 'Verser le lait chaud ou à température ambiante dans deux tasses ou verres transparents en laissant de la place pour le café fouetté par dessus.', 'Verser le café fouetté par dessus dans chaque tasse puis déguster.']";[];https://www.marmiton.org/recettes/recette_dalgona-cafe_392418.aspx
Vin de kumquats;10 min;10 min;-;6;très facile;moyen;"['1 kg de sucre', '1 bâton de vanille ou de cannelle', '1 kg de kumquat coupés en 2', '1 citron coupé en morceaux', ""1 l d' alcool à 45° pour fruits"", '5 l de vin rosé']";"[""Mélanger tous les ingrédients dans un grand bocal que l'on peut fermer hermétiquement."", 'Faire macérer un mois en remuant de temps en temps.', 'Filtrer et boire bien frais !']";['1 Entonnoir', '1 Cuillère en bois'];https://www.marmiton.org/recettes/recette_vin-de-kumquats_50365.aspx
Chocolat au lait crémeux;4 min;2 min;2 min;1;très facile;bon marché;['3 carrés de chocolat noir ou à fondre', '1 crème allégée', '30 cl de lait'];['Faire fondre le chocolat avec un petit peu de lait. Ajouter le lait et la crème tout en mélangeant.'];['1 saladier', '1 casserole'];https://www.marmiton.org/recettes/recette_chocolat-au-lait-cremeux_14136.aspx
Liqueur 44;15 min;15 min;-;1;très facile;moyen;"['1 orange non traitée', '44 morceaux de sucre', '44 grains de café', ""1 l d' eau de vie pour fruits""]";"[""Piquer l'orange, non pelée, avec les 44 grains de café."", ""La laisser macérer dans l'eau de vie avec les 44 morceaux de sucre, pendant 44 jours."", 'Filtrer et mettre en bouteille.']";['1 Entonnoir', '1 fourchette', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-44_13644.aspx
Liqueur de prunes;10 min;10 min;-;6;très facile;bon marché;['sucre candy blanc (gros cristaux)', 'prune', 'eau de vie'];"[""Dans un bocal stérilisé, verser 1/3 d'eau de vie, 1/3 de sucre candy et 1/3 de prunes dénoyautées."", ""Laissez macérer 6 mois à l'abri de la lumière.""]";['1 Entonnoir', '1 balance de cuisine'];https://www.marmiton.org/recettes/recette_liqueur-de-prunes_19486.aspx
Detox Water fraise concombre;5 min;5 min;-;1;très facile;bon marché;"['500 g de fraises', '1 concombre', '1 bouquet de menthe fraîche', ""50 cl d' eau""]";"[""Laver et couper les fraises en morceaux, le concombre en rondelles et ajouter quelques feuilles de menthe dans l'eau. Laisser macérer au moins 20 minutes pour parfumer l'eau, voir quelques heures au frais."", 'Succès assuré.']";['1 couteau'];https://www.marmiton.org/recettes/recette_detox-water-fraise-concombre_344021.aspx
Smoothie rhubarbe nectarine;45 min;15 min;-;4;très facile;bon marché;"['15 g de sucre', ""3 cuillères à soupe de miel d'acacia"", '3 nectarines', '200 g de rhubarbe', '50 cl de lait', '½ citron vert']";"[""Nettoyer et enlever la peau de la rhubarbe. La couper en petits cubes et la mettre dans une casserole, la faire cuire pendant 10min avec un peu d'eau et de sucre."", 'Pendant ce temps, éplucher et couper les pêches en morceaux et presser le demi citron, ajouter du lait (selon la consistance souhaitée). Mixer le tout.', ""Une fois la rhubarbe cuite, attendre qu'elle refroidisse légèrement puis l'ajouter au mélange. Mixer de nouveau."", 'Ajouter le miel, mélanger puis réserver au moins 30 min au frais avant dégustation.']";['1 balance de cuisine', '1 casserole'];https://www.marmiton.org/recettes/recette_smoothie-rhubarbe-nectarine_534128.aspx
Kéfir de fruits;1 j 8 min;8 min;-;1;très facile;bon marché;"['2 figues séchées', '4 cuillères à soupe de sucre', '2 cuillères à soupe de kéfir en graines', '1 demi de jus de citron', ""1 l d' eau (minéral de préférence)""]";"[""Dans une bouteille ou un récipient en verre d'un litre environ, mettez les graines de kéfir, le sucre et le jus de citron. Ajoutez un peu d'eau et diluez le sucre au maximum en tournant la bouteille."", ""Ajoutez les figues sèches et complétez le reste de l'espace avec de l'eau."", ""Mettez une gaze sur la bouteille attachez la avec une ficelle, il faut que l'air passe mais pas les insectes."", ""Ensuite laissez au moins 24 ou 36h (selon l'acidité et l'amertume que vous voulez) (moins l'été) la bouteille à température ambiante (si vous voulez qu'il soit plus acide ou plus amer mettez le 36h sinon 24h). En général quand les figues sont remontés la boissons est prête mais vous pouvez la laisser plus longtemps."", 'Une fois que la boissons a assez reposé filtrez-là et mettez-là dans une bouteille type ""bouteille de limonade"" avec un bouchon solide.', ""Conservez le kéfir de fruits au réfrigérateur une fois qu'il est prêt."", 'Ensuite rincez les graines de kéfir et vous pouvez préparer une nouvelle tournée. (vous pouvez aussi conserver les graines de kéfir dans un pot fermé au réfrigérateur)']";['1 balance de cuisine', '1 Réfrigérateur'];https://www.marmiton.org/recettes/recette_kefir-de-fruits_534260.aspx
Moscow Mule;15 min;15 min;-;2;facile;bon marché;"[""1 bouteille d' eau minérale naturelle gazeuse Intense Quézac®"", '12 cl de vodka', '5 cl de sirop de gingembre', '3 cl de jus de citron vert', 'glaçons ou glace pilée', 'menthe (quelques feuilles)', '2 rondelles de citron vert']";['Remplir les verres ou les gobelets en cuivre aux 2/3 de glaçons ou de glace pilée.', 'Verser ensuite dans chaque verre 6 cl de vodka, 1,5 cl de jus de citron et 2,5 cl de sirop de gingembre. Mélanger à l’aide d’une grande cuillère ou d’un agitateur.', 'Compléter chaque verre en versant l’eau minérale naturelle Intense Quézac®. Mélanger brièvement et décorer avec quelques feuilles de menthe et des rondelles de citron vert.'];[];https://www.marmiton.org/recettes/recette_moscow-mule_533226.aspx
Lait chaud au chocolat et épices de Noël;15 min;10 min;5 min;4;facile;bon marché;['1 Okay sans tube®', '2 bonnes pincées de muscade', '1 l de lait entier', '2 bâtons de cannelle', '3 étoiles de badiane', '100 g de chocolat noir (facultatif)', 'biscuits secs en brisures', 'cacao en poudre'];['Verser le lait dans une casserole et le faire chauffer.', 'Ajouter le chocolat détaillé en morceaux et bien mélanger jusqu’à ce qu’il soit totalement fondu.', 'Ajouter ensuite les épices et laisser infuser pendant 5 minutes.', 'Tapisser le fond d’un chinois ou d’un porte-filtres à café avec des feuilles d’essuie-tout Okay Sans Tube®. Placer ce dernier au-dessus des tasses et verser le mélange afin de filtrer les épices, les dépôts ainsi que la fine peau qui pourrait se former en faisant chauffer le lait.', 'Ajouter par dessus de la chantilly, un peu de cacao en poudre et des brisures de biscuits.'];['1 casseroles', '1 chinois', '1 Okay sans tube®'];https://www.marmiton.org/recettes/recette_lait-chaud-au-chocolat-et-epices-de-noel_532446.aspx
